A,Format if comparing Rev Share (+ Fixed) vs Fixed,,,,
,Metric,"Steak Hotel by Holycow (#3) — Branch Opening/Expansion: Medan [PROPOSED]
Proposed","Steak Hotel by Holycow (#2) — Working Capital, Fatmawati
Active","Steak Hotel by Holycow (#1) — Renovasi & Capex, Wolter Monginsidi
Completed",Steak Hotel by Holycow (#0.1) — Central Kitchen
,Financing Type,Revenue Share (Return-Capped),Revenue Share (Return-Capped),Fixed+Revenue Share (Time-Capped),Fixed Return
,Amount,Rp 3.100.000.000,Rp 2.000.000.000,Rp 1.500.000.000,"Rp 1,000,000,000"
,Principal Outstanding,Rp 0,Rp 1.340.000.000,Rp 300.000.000,"Rp 300,000,000"
,Revenue Share,"8% Pre-BEP
8% Post-BEP","8% Pre-BEP
8% Post-BEP","7.5% Pre-BEP
8% Post-BEP",N/A
,Cap,1.4x Investor Return Cap,1.4x Investor Return Cap,36 month Time Cap,N/A
,Fixed Amount,Rp 0,Rp 0,"Rp 500,000,000 (33% of Disbursed)
Fixed Installment: Rp 13.88 jt per month starting from branch opening","Rp 1,000,000,000 (33% of Disbursed)
Fixed Installment: 47,520,000 per month for 20 months starting from 15 May 2024"
,Target Carry,"6.5% annualized
Fixed","6.5%
Revenue Share","6.5%
Revenue Share","5%
Fixed"
,Branch Opening,Scheduled: 15 Oct 2026 (4.5 months from disbursement),"Actual: 16 Feb 2023 
(3.5 months from disbursement)
Scheduled: 15 Feb 2023 
(3.5 months from disbursement)

Diff: 0.01 months late","Actual: 16 May 2023 
(6.5 months from disbursement)
Scheduled: 15 Feb 2023 
(3.5 months from disbursement)

Diff: 3 months late",N/A
,Term,24 months,36 months,"18 months OTF
20 months original projected",4 months
,PvA,"N/A
Not Yet Started","75%
4 months","48%
12 months",N/A
,IRR,25.6% projected,"23.4% OTF
19.5% original projected","22.1% OTF
19.5% original projected","22.1% OTF
19.5% original projected"
,MOIC,"OTF MOIC: N/A
Original Projected: 1.55x 
","OTF MOIC: 1.6x
Original Projected: 1.4x 
","OTF MOIC: 1.2x
Original Projected: 1.38x
","OTF MOIC: 1.2x
Original Projected: 1.2x
"
,BEP,"OTF BEP: 12 months
Original Projected: 13 months","OTF BEP: 12 months
Original Projected: 13 months","OTF BEP: 12 months
Original Projected: 13 months","OTF BEP: 12 months
Original Projected: 13 months"
,DPD,N/A,"14 days max
- 15 Apr 2024 — 14d overdue — Paid","60 days max
- 15 Feb 2024 — 60d overdue — Paid
- 15 Dec 2023 — 15d overdue — Paid","0 days max
"
,Minimum,"Gross Up
1.2x at 36 months","Continual Rev Share
1.25x at 60 months","Gross Up
1.2x at 36 months",N/A
,Revenue Projections,"Avg/month Rp 600.740.842
Peak (Month 1) Rp 600.740.842
Floor (Month 1) Rp 600.740.842
Projection span 123 months","Avg/month Rp 300,000,000
Peak (Month 9) Rp 600,000,000
Floor (Month 1) Rp 200,000,000
Projection span 123 months","Avg/month Rp 400,000,000
Peak (Month 18) Rp 1.200,000,000
Floor (Month 1) Rp 100,000,000
Projection span 123 months",N/A
,Source of Revenue Accrued,"Sales setelah dikurangi diskon, sebelum PB1/PPN, sebelum Service Charge, sebelum komisi online dan biaya EDC/QRIS","Sales setelah dikurangi diskon, sebelum PB1/PPN, sebelum Service Charge, sebelum komisi online dan biaya EDC/QRIS","Sales setelah dikurangi diskon, sebelum PB1/PPN, sebelum Service Charge, sebelum komisi online dan biaya EDC/QRIS",N/A
,Payment Frequency,"Investor Revenue Share: Monthly, 15th
Investor Fixed Payment: Monthly, 15th
Carry: Monthly, 15th
","Investor Revenue Share: Monthly, 15th
Investor Fixed Payment: Monthly, 15th
Carry: Monthly, 15th
","Investor Revenue Share: Monthly, 15th
Investor Fixed Payment: Monthly, 15th
Carry: Monthly, 15th
",Monthly
,Late Fee,"0.08% per day to investor
0.02% per day to ASN
Basis: Overdue Amount
Grace: 5 days","0.08% per day to investor
0.02% per day to ASN
Basis: Overdue Amount
Grace: 5 days","0.08% per day to investor
0.02% per day to ASN
Basis: Overdue Amount
Grace: 5 days","0.08% per day to investor
0.02% per day to ASN
Basis: Outstanding Amount
Grace: 0 days"
,Fixed Payment Investor ROIC per Month,N/A,N/A,N/A,1.60%
,Fixed Payment Total implied ROIC per Month,N/A,N/A,N/A,2.02%
,PT,PT Steak Hotel 1,PT Steak Hotel 1,PT Steak Hotel 2,PT Steak Hotel 2
,,,,,
B,Format if comparing between Rev Share (+ Fixed) projects,,,,
,Metric,"Steak Hotel by Holycow (#3) — Branch Opening/Expansion: Medan [PROPOSED]
Proposed","Steak Hotel by Holycow (#2) — Working Capital, Fatmawati
Active","Steak Hotel by Holycow (#1) — Renovasi & Capex, Wolter Monginsidi
Completed",
,Financing Type,Revenue Share (Return-Capped),Revenue Share (Return-Capped),Fixed+Revenue Share (Time-Capped),
,Amount,Rp 3.100.000.000,Rp 2.000.000.000,Rp 1.500.000.000,
,Principal Outstanding,Rp 0,Rp 1.340.000.000,Rp 300.000.000,
,Revenue Share,"8% Pre-BEP
8% Post-BEP","8% Pre-BEP
8% Post-BEP","7.5% Pre-BEP
8% Post-BEP",
,Cap,1.4x Investor Return Cap,1.4x Investor Return Cap,36 month Time Cap,
,Fixed Amount,Rp 0,Rp 0,"Rp 500,000,000 (33% of Disbursed)
Fixed Installment: Rp 13.88 jt per month starting from branch opening",
,Target Carry,"6.5%
Fixed","6.5%
Revenue Share","6.5%
Revenue Share",
,Branch Opening,Scheduled: 15 Oct 2026 (4.5 months from disbursement),"Actual: 16 Feb 2023 
(3.5 months from disbursement)
Scheduled: 15 Feb 2023 
(3.5 months from disbursement)

Diff: 0.01 months late","Actual: 16 May 2023 
(6.5 months from disbursement)
Scheduled: 15 Feb 2023 
(3.5 months from disbursement)

Diff: 3 months late",
,Term,24 months,36 months,"18 months OTF
20 months original projected",
,PvA,"N/A
Not Yet Started","75%
4 months","48%
12 months",
,IRR,25.6% projected,"23.4% OTF
19.5% original projected","22.1% OTF
19.5% original projected",
,MOIC,"OTF MOIC: N/A
Original Projected: 1.55x 
","OTF MOIC: 1.6x
Original Projected: 1.4x 
","OTF MOIC: 1.2x
Original Projected: 1.38x
",
,BEP,"OTF BEP: 12 months
Original Projected: 13 months","OTF BEP: 12 months
Original Projected: 13 months","OTF BEP: 12 months
Original Projected: 13 months",
,DPD,N/A,"14 days max
- 15 Apr 2024 — 14d overdue — Paid","60 days max
- 15 Feb 2024 — 60d overdue — Paid
- 15 Dec 2023 — 15d overdue — Paid",
,Minimum,"Gross Up
1.2x at 36 months","Continual Rev Share
1.25x","Gross Up
1.2x at 36 months",
,Revenue Projections,"Avg/month Rp 600.740.842
Peak (Month 1) Rp 600.740.842
Floor (Month 1) Rp 600.740.842
Projection span 123 months","Avg/month Rp 300,000,000
Peak (Month 9) Rp 600,000,000
Floor (Month 1) Rp 200,000,000
Projection span 123 months","Avg/month Rp 400,000,000
Peak (Month 18) Rp 1.200,000,000
Floor (Month 1) Rp 100,000,000
Projection span 123 months",
