role,when_trigger_stage,which_info,action,outcome,screen
Investments Team,"New lead/contact surfaces (Board, pre-stage)","KP/Brand name, project name, contact name + WhatsApp, asset class","Create a lead card; log meeting notes","Card created at Board stage 1 (Early Lead)",/board
Investments Team,"Board stage 2 (Funding Lead) - gathering docs","12-item document checklist, meeting notes","Check off collected documents as they arrive","Checklist progress updates; advances to Due Diligence when ready",/board
Investments Team,"Board stage 3 (Due Diligence) - docs complete","Card checklist + notes","Click Submission Form","Opens /submission/new, enters LOS pipeline at funding_lead","/board -> /submission/new"
Investments Team,"LOS funding_lead (Due Diligence)","Project/KP details, deal terms, financials, KP contacts, past-project recap, credit memo","Fill in and submit the full submission form","Project moves to ic_review","Home My Queue: Continue Due Diligence -> /submission/[id]"
Investment Committee,"LOS ic_review, member has not voted","Requested amount, credit memo, deal terms, conditions precedent/subsequent, vote tally & quorum, SLIK/UBO exposure","Cast Approve / Reject / Abstain","Vote recorded; quorum reached moves project to finance_slotting (or rejected)","Home My Queue: Awaiting Your Vote -> /project/[id] (ApprovalSection)"
Finance Team,"LOS finance_slotting (IC approved)","Approved amount, requested amount, existing plafond/limit headroom","Enter KF amount + KCF amount, confirm split","finance.slottedAt set; project moves to legal","Home My Queue: Awaiting KF/KCF Split -> /project/[id] (FinanceSlottingSection)"
Legal Team,"LOS legal (split confirmed)","Term sheet / agreement drafting / signing status, legal notes","Check off Term Sheet Signed, Agreement Drafted, Agreement Signed","legal.completedAt set; project moves to finance_disbursement","Home My Queue: Awaiting Legal Agreement -> /project/[id] (LegalSection)"
Finance Team,"LOS finance_disbursement (legal complete)","Bank details, disbursement date, legal completion status","Review bank details, set disbursement date, confirm disbursed","finance.completedAt set; project moves to onboarded","Home My Queue: Ready to Disburse -> /project/[id] (FinanceDisbursementSection)"
System Admin,"Always (global config, not stage-bound)","Net Assets / Capital Commitments base values, org-wide concentration limits","Edit concentration-limit configuration","Limit config updated for all teams",/admin/limits
System Admin,"Any time","Every field group across every stage (superset view)","Oversight / covers any team if needed","No personal queue - reads the full pipeline directly","Home Full Pipeline (Table/Card)"
